Unnamed: 0,시각,이동시간,이동시간_lag1,이동시간_lag2,이동시간_lag3,이동시간_lag4,이동시간_lag5,이동시간_lag6,이동시간_lag7,이동시간_lag8,이동시간_lag9,이동시간_lag10,이동시간_lag11,이동시간_lag12,이동시간_lag13,이동시간_lag14,이동시간_lag15,이동시간_lag16,이동시간_lag17,이동시간_lag18,이동시간_lag19,이동시간_lag20,이동시간_lag21,이동시간_lag22,이동시간_lag23,이동시간_lag24,resid,trend,seasonal
742,202202100.0,,225.833,262.616,270.016,270.85,271.666,265.2665,267.3495,267.908,260.183,259.366,265.0495,266.058,258.208,259.291,255.572,245.6495,240.341,234.608,238.411,252.133,222.3995,218.7415,234.6663333333333,222.166,-51.65825412982674,272.65079513888884,4.840458990937908
743,202202101.0,,254.966,225.833,262.616,270.016,270.85,271.666,265.2665,267.3495,267.908,260.183,259.366,265.0495,266.058,258.208,259.291,255.572,245.6495,240.341,234.608,238.411,252.133,222.3995,218.7415,234.6663333333333,-4.378808453303503,270.7362118055556,-11.39140335225206
744,202202102.0,,254.966,254.966,225.833,262.616,270.016,270.85,271.666,265.2665,267.3495,267.908,260.183,259.366,265.0495,266.058,258.208,259.291,255.572,245.6495,240.341,234.608,238.411,252.133,222.3995,218.7415,-1.3728994941301629,267.8570451388889,-11.518145644758736
745,202202103.0,,254.966,254.966,254.966,225.833,262.616,270.016,270.85,271.666,265.2665,267.3495,267.908,260.183,259.366,265.0495,266.058,258.208,259.291,255.572,245.6495,240.341,234.608,238.411,252.133,222.3995,6.967403131737907,264.97787847222224,-16.979281603960143
746,202202104.0,,244.816,254.966,254.966,254.966,225.833,262.616,270.016,270.85,271.666,265.2665,267.3495,267.908,260.183,259.366,265.0495,266.058,258.208,259.291,255.572,245.6495,240.341,234.608,238.411,252.133,1.903481148230988,262.66189930555555,-19.749380453786536
747,202202105.0,,254.783,244.816,254.966,254.966,254.966,225.833,262.616,270.016,270.85,271.666,265.2665,267.3495,267.908,260.183,259.366,265.0495,266.058,258.208,259.291,255.572,245.6495,240.341,234.608,238.411,14.128877090071285,261.1538993055555,-20.49977639562681
748,202202106.0,,264.75,254.783,244.816,254.966,254.966,254.966,225.833,262.616,270.016,270.85,271.666,265.2665,267.3495,267.908,260.183,259.366,265.0495,266.058,258.208,259.291,255.572,245.6495,240.341,234.608,25.235266738508766,260.11604513888886,-20.60131187739763
749,202202107.0,,274.716,264.75,254.783,244.816,254.966,254.966,254.966,225.833,262.616,270.016,270.85,271.666,265.2665,267.3495,267.908,260.183,259.366,265.0495,266.058,258.208,259.291,255.572,245.6495,240.341,30.610957168196187,259.47089930555563,-15.36585647375181
750,202202108.0,,262.1745,274.716,264.75,254.783,244.816,254.966,254.966,254.966,225.833,262.616,270.016,270.85,271.666,265.2665,267.3495,267.908,260.183,259.366,265.0495,266.058,258.208,259.291,255.572,245.6495,16.025984620453187,258.70422222222226,-12.555706842675422
751,202202109.0,,274.6245,262.1745,274.716,264.75,254.783,244.816,254.966,254.966,254.966,225.833,262.616,270.016,270.85,271.666,265.2665,267.3495,267.908,260.183,259.366,265.0495,266.058,258.208,259.291,255.572,30.34834942080041,257.8914236111111,-13.615273031911524
752,202202110.0,,289.9665,274.6245,262.1745,274.716,264.75,254.783,244.816,254.966,254.966,254.966,225.833,262.616,270.016,270.85,271.666,265.2665,267.3495,267.908,260.183,259.366,265.0495,266.058,258.208,259.291,38.035822836599046,257.64026041666665,-5.7095832532657
753,202202111.0,,300.441,289.9665,274.6245,262.1745,274.716,264.75,254.783,244.816,254.966,254.966,254.966,225.833,262.616,270.016,270.85,271.666,265.2665,267.3495,267.908,260.183,259.366,265.0495,266.058,258.208,41.26462459441148,258.0473645833334,1.1290108222551185
754,202202112.0,,302.922,300.441,289.9665,274.6245,262.1745,274.716,264.75,254.783,244.816,254.966,254.966,254.966,225.833,262.616,270.016,270.85,271.666,265.2665,267.3495,267.908,260.183,259.366,265.0495,266.058,34.83934421246712,259.1292951388889,8.953360648644017
755,202202113.0,,311.616,302.922,300.441,289.9665,274.6245,262.1745,274.716,264.75,254.783,244.816,254.966,254.966,254.966,225.833,262.616,270.016,270.85,271.666,265.2665,267.3495,267.908,260.183,259.366,265.0495,37.23189380014074,260.9781284722222,13.405977727637062
756,202202114.0,,306.6995,311.616,302.922,300.441,289.9665,274.6245,262.1745,274.716,264.75,254.783,244.816,254.966,254.966,254.966,225.833,262.616,270.016,270.85,271.666,265.2665,267.3495,267.908,260.183,259.366,29.543149985036525,262.531640625,14.624709389963453
757,202202115.0,,300.8995,306.6995,311.616,302.922,300.441,289.9665,274.6245,262.1745,274.716,264.75,254.783,244.816,254.966,254.966,254.966,225.833,262.616,270.016,270.85,271.666,265.2665,267.3495,267.908,260.183,21.80023093121702,263.96096875000006,15.138300318782909
758,202202116.0,,299.1245,300.8995,306.6995,311.616,302.922,300.441,289.9665,274.6245,262.1745,274.716,264.75,254.783,244.816,254.966,254.966,254.966,225.833,262.616,270.016,270.85,271.666,265.2665,267.3495,267.908,16.545443279307385,265.85291319444445,16.726143526248173
759,202202117.0,,295.44966666666664,299.1245,300.8995,306.6995,311.616,302.922,300.441,289.9665,274.6245,262.1745,274.716,264.75,254.783,244.816,254.966,254.966,254.966,225.833,262.616,270.016,270.85,271.666,265.2665,267.3495,13.07016550152953,267.6975208333334,14.681980331803729
760,202202118.0,,297.333,295.44966666666664,299.1245,300.8995,306.6995,311.616,302.922,300.441,289.9665,274.6245,262.1745,274.716,264.75,254.783,244.816,254.966,254.966,254.966,225.833,262.616,270.016,270.85,271.666,265.2665,14.326789524967053,269.4269236111112,13.579286863921784
761,202202119.0,,290.258,297.333,295.44966666666664,299.1245,300.8995,306.6995,311.616,302.922,300.441,289.9665,274.6245,262.1745,274.716,264.75,254.783,244.816,254.966,254.966,254.966,225.833,262.616,270.016,270.85,271.666,7.355301352224064,271.27102777777776,11.631670869998157
762,202202120.0,,298.016,290.258,297.333,295.44966666666664,299.1245,300.8995,306.6995,311.616,302.922,300.441,289.9665,274.6245,262.1745,274.716,264.75,254.783,244.816,254.966,254.966,254.966,225.833,262.616,270.016,270.85,14.984593127397591,273.5338611111112,9.49754576149122
763,202202121.0,,283.45,298.016,290.258,297.333,295.44966666666664,299.1245,300.8995,306.6995,311.616,302.922,300.441,289.9665,274.6245,262.1745,274.716,264.75,254.783,244.816,254.966,254.966,254.966,225.833,262.616,270.016,0.3294936265295529,275.5227361111112,7.597770262359278
764,202202122.0,,281.333,283.45,298.016,290.258,297.333,295.44966666666664,299.1245,300.8995,306.6995,311.616,302.922,300.441,289.9665,274.6245,262.1745,274.716,264.75,254.783,244.816,254.966,254.966,254.966,225.833,262.616,-3.2768399238176613,277.0973819444445,7.512457979373167
765,202202123.0,,274.666,281.333,283.45,298.016,290.258,297.333,295.44966666666664,299.1245,300.8995,306.6995,311.616,302.922,300.441,289.9665,274.6245,262.1745,274.716,264.75,254.783,244.816,254.966,254.966,254.966,225.833,-12.490073213748174,278.4890277777778,8.667045435970392
